phase_label,start_year,n_total,n_evaluable,n_success,completion_rate,ci_lower,ci_upper,suppressed
PHASE1,2010.0,15,13,10.0,0.7692307692307693,0.7192307692307692,0.8192307692307693,False
PHASE2,2008.0,14,14,9.0,0.6428571428571429,0.5928571428571429,0.692857142857143,False
PHASE1,2006.0,12,12,11.0,0.9166666666666666,0.8666666666666666,0.9666666666666667,False
PHASE1,1993.0,1,1,1.0,1.0,0.95,1.05,True
EARLY_PHASE1,2024.0,1,0,0.0,,,,True
UNKNOWN,2024.0,3,0,0.0,,,,True
UNKNOWN,2023.0,2,1,1.0,1.0,0.95,1.05,True
EARLY_PHASE1,2023.0,3,2,2.0,1.0,0.95,1.05,True
PHASE3,2020.0,5,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,True
PHASE1,2012.0,9,9,9.0,1.0,0.95,1.05,False
PHASE4,2022.0,1,1,0.0,0.0,-0.05,0.05,True
PHASE2,2020.0,24,6,2.0,0.3333333333333333,0.2833333333333333,0.3833333333333333,False
PHASE4,2018.0,2,1,1.0,1.0,0.95,1.05,True
PHASE4,2017.0,1,0,0.0,,,,True
PHASE4,2016.0,1,1,0.0,0.0,-0.05,0.05,True
PHASE1,1995.0,1,1,1.0,1.0,0.95,1.05,True
PHASE2,1991.0,1,1,1.0,1.0,0.95,1.05,True
PHASE1,2025.0,7,0,0.0,,,,True
PHASE4,2024.0,2,0,0.0,,,,True
PHASE4,2023.0,2,2,2.0,1.0,0.95,1.05,True
PHASE1,2019.0,14,7,3.0,0.42857142857142855,0.37857142857142856,0.47857142857142854,False
PHASE2,2013.0,21,20,13.0,0.65,0.6,0.7000000000000001,False
PHASE3,2010.0,4,4,4.0,1.0,0.95,1.05,True
UNKNOWN,2007.0,2,2,2.0,1.0,0.95,1.05,True
PHASE3,2006.0,3,2,1.0,0.5,0.45,0.55,True
UNKNOWN,1999.0,2,2,1.0,0.5,0.45,0.55,True
PHASE3,1993.0,1,1,1.0,1.0,0.95,1.05,True
PHASE2,2024.0,30,2,0.0,0.0,-0.05,0.05,True
PHASE2,2023.0,24,0,0.0,,,,True
PHASE1,2015.0,23,18,13.0,0.7222222222222222,0.6722222222222222,0.7722222222222223,False
PHASE1,2014.0,22,21,17.0,0.8095238095238095,0.7595238095238095,0.8595238095238096,False
PHASE4,2013.0,2,1,1.0,1.0,0.95,1.05,True
PHASE1,2004.0,7,7,5.0,0.7142857142857143,0.6642857142857143,0.7642857142857143,False
PHASE3,2003.0,3,2,2.0,1.0,0.95,1.05,True
PHASE1,2001.0,6,5,5.0,1.0,0.95,1.05,False
PHASE2,2000.0,5,3,3.0,1.0,0.95,1.05,True
PHASE3,2022.0,5,2,2.0,1.0,0.95,1.05,True
PHASE3,2018.0,7,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,True
PHASE3,2017.0,7,4,4.0,1.0,0.95,1.05,True
PHASE3,2016.0,7,3,3.0,1.0,0.95,1.05,True
EARLY_PHASE1,2013.0,1,1,1.0,1.0,0.95,1.05,True
UNKNOWN,2013.0,1,1,0.0,0.0,-0.05,0.05,True
PHASE2,2007.0,23,19,15.0,0.7894736842105263,0.7394736842105263,0.8394736842105264,False
PHASE2,1999.0,3,3,3.0,1.0,0.95,1.05,True
PHASE2,1998.0,5,4,4.0,1.0,0.95,1.05,True
PHASE2,2021.0,45,12,9.0,0.75,0.7,0.8,False
PHASE3,2015.0,7,7,5.0,0.7142857142857143,0.6642857142857143,0.7642857142857143,False
PHASE3,2014.0,4,3,3.0,1.0,0.95,1.05,True
PHASE2,2011.0,11,7,5.0,0.7142857142857143,0.6642857142857143,0.7642857142857143,False
PHASE2,2009.0,21,17,11.0,0.6470588235294118,0.5970588235294118,0.6970588235294118,False
PHASE4,2008.0,2,2,2.0,1.0,0.95,1.05,True
PHASE3,2004.0,4,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,True
PHASE1,2003.0,5,5,4.0,0.8,0.75,0.8500000000000001,False
PHASE3,2001.0,1,1,1.0,1.0,0.95,1.05,True
PHASE2,1994.0,1,1,1.0,1.0,0.95,1.05,True
PHASE3,1986.0,1,1,1.0,1.0,0.95,1.05,True
