indication,phase_label,n_total,n_evaluable,n_success,completion_rate,ci_lower,ci_upper,suppressed
Abdominal Neoplasms,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Pro-Inflammation,PHASE4,1,0,0.0,,,,True
Burkitt Lymphoma,PHASE1,7,7,1.0,0.14285714285714285,0.09285714285714285,0.19285714285714284,False
Diffuse Large B-Cell Lymphoma,PHASE1,15,15,5.0,0.3333333333333333,0.2833333333333333,0.3833333333333333,False
Osteoid Sarcoma,PHASE1,1,0,0.0,,,,True
Eye Neoplasm,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Diamond-Blackfan Anemia,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Lymphedema,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Grade 2 Follicular Lymphoma,PHASE1,6,6,0.0,0.0,-0.05,0.05,False
Marginal Zone Lymphoma,PHASE1,6,6,0.0,0.0,-0.05,0.05,False
HIV Infection,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Renal Cell Carcinoma,PHASE2,12,10,5.0,0.5,0.45,0.55,False
Neuroendocrine Carcinoma,PHASE1,1,0,0.0,,,,True
Primary Myelofibrosis,PHASE2,4,3,3.0,1.0,0.95,1.05,False
De-escalation Therapy,PHASE3,1,0,0.0,,,,True
Follicular Lymphoma,PHASE2,4,1,1.0,1.0,0.95,1.05,False
Hematology,EARLY_PHASE1,4,3,3.0,1.0,0.95,1.05,False
Hematology,PHASE3,4,3,3.0,1.0,0.95,1.05,False
Castration-Resistant Prostate Carcinoma,PHASE1,4,3,1.0,0.3333333333333333,0.2833333333333333,0.3833333333333333,False
Recurrent Mucosal Melanoma,PHASE2,1,0,0.0,,,,True
Oropharyngeal Cancer,PHASE2,4,1,1.0,1.0,0.95,1.05,False
Human Papilloma Virus,PHASE2,1,0,0.0,,,,True
Physical Performance,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Respiratory Tract Diseases,PHASE2,1,0,0.0,,,,True
Double-Hit Lymphoma,PHASE3,2,0,0.0,,,,True
Diffuse Large B-Cell Lymphoma,PHASE3,5,0,0.0,,,,True
Left Ventricular Dysfunction,PHASE3,1,0,0.0,,,,True
Fallopian Tube Cancer,PHASE2,5,4,2.0,0.5,0.45,0.55,False
Lip and Oral Cavity Cancer,PHASE1,13,11,4.0,0.36363636363636365,0.31363636363636366,0.41363636363636364,False
Clear Cell Renal Cell Carcinoma,PHASE1,2,1,0.0,0.0,-0.05,0.05,False
AML with minimal differentiation,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
"Anemia, Aplastic",PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Stage III Adult Diffuse Large Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Waldenstrom Macroglobulinemia,PHASE2,2,2,1.0,0.5,0.45,0.55,False
Recurrent Lymphoepithelioma of the Oropharynx,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Gliosarcoma,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Sickle Cell Disease,PHASE3,2,2,0.0,0.0,-0.05,0.05,False
Thyroid Gland Medullary Carcinoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Sickle Cell Disease,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Clear Cell Sarcoma,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Sepsis,PHASE3,1,1,0.0,0.0,-0.05,0.05,False
Bronchopulmonary Dysplasia,PHASE3,1,1,0.0,0.0,-0.05,0.05,False
Atherosclerosis,PHASE4,1,0,0.0,,,,True
Severe Congenital Neutropenia,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Cirrhosis,PHASE2,1,0,0.0,,,,True
T-Cell Non-Hodgkin Lymphoma,PHASE1,5,4,0.0,0.0,-0.05,0.05,False
Thalassemia,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Stage I Adult Diffuse Mixed Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Stage III Adult Diffuse Mixed Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Central Nervous System Neoplasm,PHASE1,2,2,1.0,0.5,0.45,0.55,False
Recurrent Esthesioneuroblastoma of the Paranasal Sinus and Nasal Cavity,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Infectious Disorder,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Non-Small Cell Lung Cancer,PHASE2,47,27,20.0,0.7407407407407407,0.6907407407407407,0.7907407407407407,False
Liver Cancer,PHASE2,6,3,3.0,1.0,0.95,1.05,False
Hormone Receptor-Positive Breast Cancer,PHASE2,1,0,0.0,,,,True
Acute Graft Versus Host Disease,PHASE1,2,1,0.0,0.0,-0.05,0.05,False
Brain Metastasis,PHASE2,8,2,2.0,1.0,0.95,1.05,False
Extrahepatic Bile Duct Carcinoma,PHASE1,1,0,0.0,,,,True
Diffuse Intrinsic Pontine Glioma,PHASE1,2,1,1.0,1.0,0.95,1.05,False
Ewing Sarcoma,PHASE2,2,1,1.0,1.0,0.95,1.05,False
Kidney Wilms Tumor,PHASE2,4,4,3.0,0.75,0.7,0.8,False
Head and Neck Neoplasm,PHASE1,11,9,7.0,0.7777777777777778,0.7277777777777777,0.8277777777777778,False
Neurofibroma,PHASE2,2,1,1.0,1.0,0.95,1.05,False
Esophageal Cancer,UNKNOWN,1,0,0.0,,,,True
Thyroid Cancer,PHASE2,3,2,2.0,1.0,0.95,1.05,False
Esophageal Cancer,PHASE3,2,1,1.0,1.0,0.95,1.05,False
Lung Diseases,PHASE2,1,0,0.0,,,,True
KRAS G12C Mutation,PHASE2,1,0,0.0,,,,True
Non-Hodgkin Lymphoma,PHASE4,2,1,1.0,1.0,0.95,1.05,False
Cervical Cancer,PHASE1,4,4,3.0,0.75,0.7,0.8,False
Bladder Cancer,PHASE2,5,4,0.0,0.0,-0.05,0.05,False
Cytomegaloviral Infection,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Graft Versus Host Disease,PHASE2,3,3,3.0,1.0,0.95,1.05,False
Hemoglobinopathies,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Fanconi Anemia,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Adult Supratentorial Primitive Neuroectodermal Tumor (PNET),UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
Central Nervous System Embryonal Tumor,UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
Breast Neoplasm,PHASE4,1,0,0.0,,,,True
Noncontiguous Stage II Adult Diffuse Large Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Noncontiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Stage IV Adult Diffuse Mixed Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Testicular Cancer,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Hypopharyngeal Cancer,PHASE2,2,1,1.0,1.0,0.95,1.05,False
Chemotherapeutic Agent Toxicity,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,PHASE4,1,0,0.0,,,,True
Chronic Myeloid Leukemia,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Tumors,PHASE2,2,2,2.0,1.0,0.95,1.05,False
Hypercalcemia of Malignancy,UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
Cancers Expressing HER-2 and/or CEA,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Glioma,PHASE1,5,5,5.0,1.0,0.95,1.05,False
PTEN Hamartoma Syndrome,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Conditioning,PHASE2,1,0,0.0,,,,True
Cardiovascular Neoplasm,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Mantle Cell Lymphoma,PHASE1,6,6,0.0,0.0,-0.05,0.05,False
Epstein-Barr Virus Infection,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Hairy Cell Leukemia,PHASE1,4,4,1.0,0.25,0.2,0.3,False
Gestational Trophoblastic Neoplasia,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Aplastic Anemia,PHASE1,1,1,1.0,1.0,0.95,1.05,False
FGFR2 Gene Translocation,PHASE2,1,0,0.0,,,,True
Soft Tissue Sarcoma,PHASE1,4,2,1.0,0.5,0.45,0.55,False
Hepatocellular Carcinoma,PHASE1,8,2,0.0,0.0,-0.05,0.05,False
Breast Cancer,PHASE2,58,43,34.0,0.7906976744186046,0.7406976744186046,0.8406976744186047,False
Colorectal Cancer,PHASE2,31,20,9.0,0.45,0.4,0.5,False
HER2-Negative Breast Cancer,UNKNOWN,1,0,0.0,,,,True
Immune Effector Cell Associated Neurotoxicity Syndrome,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Small Cell Lung Cancer,PHASE2,4,1,0.0,0.0,-0.05,0.05,False
Glioblastoma,PHASE1,10,5,4.0,0.8,0.75,0.8500000000000001,False
Acute Myeloid Leukemia,PHASE1,20,11,4.0,0.36363636363636365,0.31363636363636366,0.41363636363636364,False
Hip Fractures,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Inflammation,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Palliative Care,PHASE2,1,0,0.0,,,,True
COVID-19,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Epithelial Neoplasm,PHASE3,4,2,2.0,1.0,0.95,1.05,False
Cancer,PHASE4,1,0,0.0,,,,True
Anlotinib,PHASE2,1,0,0.0,,,,True
Digestive System Neoplasm,UNKNOWN,4,1,1.0,1.0,0.95,1.05,False
Neurofibromatosis,PHASE2,2,1,1.0,1.0,0.95,1.05,False
Myeloproliferative Neoplasm,PHASE2,6,5,5.0,1.0,0.95,1.05,False
Postoperative Pain,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Neoplasms,PHASE2,5,2,2.0,1.0,0.95,1.05,False
CD147 Positive,EARLY_PHASE1,1,0,0.0,,,,True
Cardiotoxicity,PHASE3,1,0,0.0,,,,True
Chronic Lymphocytic Leukemia,PHASE2,14,12,10.0,0.8333333333333334,0.7833333333333333,0.8833333333333334,False
Primary Peritoneal Cancer,PHASE2,4,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Anastomotic Leak,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Digestive System Neoplasm,EARLY_PHASE1,1,0,0.0,,,,True
Epithelial Neoplasm,EARLY_PHASE1,2,2,2.0,1.0,0.95,1.05,False
Neuroendocrine Tumors,PHASE1,4,3,3.0,1.0,0.95,1.05,False
Plasmacytoma,EARLY_PHASE1,1,1,1.0,1.0,0.95,1.05,False
T Lymphoblastic Lymphoma,PHASE3,1,0,0.0,,,,True
Malignant Melanoma,PHASE1,2,2,2.0,1.0,0.95,1.05,False
Renal Pelvis Carcinoma,PHASE1,1,0,0.0,,,,True
Ovarian Clear Cell Adenocarcinoma,PHASE2,1,0,0.0,,,,True
Elderly,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Malignant Tumor,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Contiguous Stage II Adult Diffuse Large Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Small Lymphocytic Lymphoma,PHASE2,11,11,5.0,0.45454545454545453,0.40454545454545454,0.5045454545454545,False
Stage III Adult Diffuse Small Cleaved Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
"Peripheral T-Cell Lymphoma, Not Otherwise Specified",PHASE4,1,0,0.0,,,,True
Sentinel Lymph Node,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Lung Adenocarcinoma,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Hepatectomy,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Lymphocytic Colitis,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Ovarian Sex Cord-Stromal Tumor,PHASE2,1,0,0.0,,,,True
Testicular Non-Seminomatous Germ Cell Tumor,PHASE2,4,4,4.0,1.0,0.95,1.05,False
Nonneoplastic Condition,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Recurrent Childhood Large Cell Lymphoma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Plasma Cell Neoplasm,PHASE2,3,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Philadelphia Chromosome Positive Acute Lymphocytic Leukemia,PHASE2,1,1,1.0,1.0,0.95,1.05,False
PTEN Hamartoma Tumor Syndrome,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Malignant Peripheral Nerve Sheath Tumor,PHASE1,1,0,0.0,,,,True
Opportunistic Infections,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Osteopetrosis,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Anaplastic Large Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Recurrent Adult Diffuse Small Cleaved Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
"Lymphoma, Low-Grade",PHASE4,1,1,1.0,1.0,0.95,1.05,False
Epithelial Neoplasm,UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
Sarcoma,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Head and Neck Squamous Cell Carcinoma,PHASE2,8,3,3.0,1.0,0.95,1.05,False
WHO Grade 4 Glioma,PHASE2,1,0,0.0,,,,True
Pancreatic Cancer,UNKNOWN,2,0,0.0,,,,True
Ovarian Cancer,PHASE2,18,15,12.0,0.8,0.75,0.8500000000000001,False
Inflammatory Bowel Disease,PHASE3,1,0,0.0,,,,True
Nasopharyngeal Cancer,PHASE3,3,1,1.0,1.0,0.95,1.05,False
Gastric Cancer,PHASE2,13,5,3.0,0.6,0.5499999999999999,0.65,False
Triple-Negative Breast Cancer,PHASE1,6,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Intraepithelial Neoplasia,PHASE2,3,1,1.0,1.0,0.95,1.05,False
Vulvar Melanoma,PHASE2,1,0,0.0,,,,True
aGVHD,PHASE3,1,0,0.0,,,,True
Exercise-Induced Anemia,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Chronic Leukemia,PHASE2,2,1,0.0,0.0,-0.05,0.05,False
Testicular Germ Cell Cancer,PHASE2,5,4,4.0,1.0,0.95,1.05,False
Acute Leukemia,PHASE2,2,1,1.0,1.0,0.95,1.05,False
Analgesia,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Pancreatic Cancer,PHASE3,1,1,0.0,0.0,-0.05,0.05,False
Mismatch Repair Deficiency,PHASE2,1,0,0.0,,,,True
High Grade B-Cell Lymphoma,PHASE3,1,0,0.0,,,,True
Female Reproductive System Neoplasm,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Connective and Soft Tissue Neoplasm,PHASE2,4,3,3.0,1.0,0.95,1.05,False
Anemia,PHASE3,5,5,5.0,1.0,0.95,1.05,False
Adoptive Cellular Immunotherapy,PHASE2,1,0,0.0,,,,True
Endometrial Cancer,PHASE2,4,3,3.0,1.0,0.95,1.05,False
Androgen Receptor Gene Overexpression,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Grade 1 Follicular Lymphoma,PHASE2,9,7,1.0,0.14285714285714285,0.09285714285714285,0.19285714285714284,False
Breast Ductal Carcinoma In Situ,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Intrahepatic Cholangiocarcinoma,UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
Female Reproductive System Neoplasm,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Musculoskeletal Disease,PHASE3,1,1,0.0,0.0,-0.05,0.05,False
Rivaroxaban,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Peripheral Primitive Neuroectodermal Tumor,UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
T-Cell Non-Hodgkin Lymphoma,PHASE4,1,0,0.0,,,,True
Refractory Autoimmune Cytopenia(s),PHASE2,1,1,1.0,1.0,0.95,1.05,False
Sorafenib,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Brain Edema,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Androgen-insensitive Prostate Cancer,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Advanced Stage Cancer,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Anal Cancer,UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
Kidney Cancer,PHASE2,2,1,0.0,0.0,-0.05,0.05,False
Stage IV Adult Diffuse Small Cleaved Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
"Metastases, Neoplasm",PHASE2,1,1,1.0,1.0,0.95,1.05,False
Epithelial Neoplasm,PHASE1,17,12,5.0,0.4166666666666667,0.3666666666666667,0.4666666666666667,False
Colon Carcinoma,PHASE2,10,7,5.0,0.7142857142857143,0.6642857142857143,0.7642857142857143,False
Acute Myeloid Leukemia,UNKNOWN,2,0,0.0,,,,True
Myelodysplastic Syndrome,PHASE2,16,13,9.0,0.6923076923076923,0.6423076923076922,0.7423076923076923,False
Hepatocellular Carcinoma,PHASE3,4,0,0.0,,,,True
Non-Hodgkin Lymphoma,PHASE2,23,18,10.0,0.5555555555555556,0.5055555555555555,0.6055555555555556,False
Malignant Tumor,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Tumor Positron-Emission Tomography,PHASE2,1,1,1.0,1.0,0.95,1.05,False
B-Cell Non-Hodgkin Lymphoma,PHASE1,7,2,1.0,0.5,0.45,0.55,False
Peritoneal and Retroperitoneal Neoplasm,PHASE1,3,2,2.0,1.0,0.95,1.05,False
Acral Melanoma,PHASE2,1,0,0.0,,,,True
Medulloblastoma,PHASE1,3,1,1.0,1.0,0.95,1.05,False
Digestive System Neoplasm,PHASE1,24,18,13.0,0.7222222222222222,0.6722222222222222,0.7722222222222223,False
Uveal Melanoma,PHASE2,10,6,6.0,1.0,0.95,1.05,False
Sarcoma,PHASE1,4,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Classic Hodgkin Lymphoma,PHASE2,2,1,1.0,1.0,0.95,1.05,False
Pregnancy Related,PHASE4,1,0,0.0,,,,True
Anemia of Pregnancy,PHASE4,1,0,0.0,,,,True
Endocrine Neoplasm,PHASE2,3,2,2.0,1.0,0.95,1.05,False
Hepatocellular Carcinoma,UNKNOWN,3,2,1.0,0.5,0.45,0.55,False
Non-Clear Cell Renal Cell Carcinoma,PHASE1,3,1,1.0,1.0,0.95,1.05,False
Chronic Myeloid Leukemia,PHASE2,5,5,5.0,1.0,0.95,1.05,False
HER-2 Protein Overexpression,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Neuroendocrine Tumors,UNKNOWN,1,0,0.0,,,,True
Gallbladder Carcinoma,PHASE2,1,0,0.0,,,,True
Acute Myeloid Leukemia,PHASE3,4,2,1.0,0.5,0.45,0.55,False
Glioblastoma,PHASE3,2,0,0.0,,,,True
Glioblastoma,EARLY_PHASE1,1,0,0.0,,,,True
HER2-Negative Breast Cancer,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,PHASE2,6,6,2.0,0.3333333333333333,0.2833333333333333,0.3833333333333333,False
Urinary System Neoplasm,UNKNOWN,1,0,0.0,,,,True
Hodgkin Lymphoma,PHASE2,16,10,5.0,0.5,0.45,0.55,False
Neuroendocrine Tumors,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Graft Versus Host Disease,PHASE4,1,0,0.0,,,,True
Neuroendocrine Tumors,EARLY_PHASE1,1,1,1.0,1.0,0.95,1.05,False
Endometrial Clear Cell Adenocarcinoma,PHASE2,1,0,0.0,,,,True
Advanced Gastrointestinal Carcinoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Pre-menopausal Breast Cancer,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Soft Tissue Sarcoma,UNKNOWN,1,1,0.0,0.0,-0.05,0.05,False
Breast Neoplasm,PHASE2,8,7,7.0,1.0,0.95,1.05,False
Contiguous Stage II Adult Diffuse Small Cleaved Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Grade 3 Follicular Lymphoma,PHASE2,7,7,1.0,0.14285714285714285,0.09285714285714285,0.19285714285714284,False
Extranodal Marginal Zone Lymphoma,PHASE2,2,2,1.0,0.5,0.45,0.55,False
Enteropathy-Associated T-Cell Lymphoma,PHASE4,1,0,0.0,,,,True
Non-Small Cell Lung Cancer,PHASE4,1,1,1.0,1.0,0.95,1.05,False
Germ Cell Tumor,PHASE1,2,2,2.0,1.0,0.95,1.05,False
Gastrointestinal Stromal Tumor,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Urinary System Neoplasm,PHASE3,1,1,0.0,0.0,-0.05,0.05,False
T Lymphoblastic Lymphoma,PHASE1,1,0,0.0,,,,True
Thyroid Gland Papillary Carcinoma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Lung Adenocarcinoma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Chondrosarcoma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
"Anemia, Sickle Cell",PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Post-Transplant Lymphoproliferative Disorder,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Mycosis Fungoides and Sezary Syndrome,PHASE1,9,9,0.0,0.0,-0.05,0.05,False
Anaplastic Astrocytoma,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Hormonal Cycling,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Peritoneal Malignant Mesothelioma,PHASE1,1,0,0.0,,,,True
Hematology,PHASE2,27,13,9.0,0.6923076923076923,0.6423076923076922,0.7423076923076923,False
Fallopian Tube Cancer,PHASE3,2,0,0.0,,,,True
Follicular Lymphoma,PHASE3,2,1,1.0,1.0,0.95,1.05,False
Sickle Cell Disease,PHASE2,2,1,1.0,1.0,0.95,1.05,False
Thoracic Neoplasm,PHASE1,9,7,7.0,1.0,0.95,1.05,False
Diffuse Large B-Cell Lymphoma,PHASE2,28,21,11.0,0.5238095238095238,0.47380952380952385,0.5738095238095239,False
Cirrhosis,PHASE3,1,0,0.0,,,,True
Gastroesophageal Junction Cancer,PHASE2,4,1,1.0,1.0,0.95,1.05,False
T-cell acute lymphoblastic leukemia,PHASE1,2,0,0.0,,,,True
Adjuvant Therapy,PHASE2,1,0,0.0,,,,True
Neoplasms by Histologic Type,PHASE2,1,0,0.0,,,,True
Oropharyngeal Cancer,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Adult T-Cell Leukemia/Lymphoma,PHASE1,6,6,0.0,0.0,-0.05,0.05,False
Osteoid Sarcoma,PHASE2,1,0,0.0,,,,True
Toripalimab,PHASE2,1,0,0.0,,,,True
Merkel Cell Carcinoma,PHASE2,1,0,0.0,,,,True
Chronic Kidney Disease Requiring Chronic Dialysis,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Venous Thromboembolism,PHASE3,1,1,0.0,0.0,-0.05,0.05,False
Grade 2 Follicular Lymphoma,PHASE2,9,7,1.0,0.14285714285714285,0.09285714285714285,0.19285714285714284,False
Congenital Hyperinsulinism,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Parkinson Disease,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Solid Tumors,PHASE4,1,0,0.0,,,,True
Laryngeal Cancer,PHASE1,9,7,1.0,0.14285714285714285,0.09285714285714285,0.19285714285714284,False
Eye Neoplasm,PHASE2,4,3,3.0,1.0,0.95,1.05,False
Uterine Cancer,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Epidural Anesthesia,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Malignant Neoplasm,PHASE1,2,2,1.0,0.5,0.45,0.55,False
Diamond-Blackfan Anemia,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Lymphedema,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Burkitt Lymphoma,PHASE2,8,8,2.0,0.25,0.2,0.3,False
Marginal Zone Lymphoma,PHASE2,7,7,1.0,0.14285714285714285,0.09285714285714285,0.19285714285714284,False
Neoplasm Metastasis,PHASE2,2,2,1.0,0.5,0.45,0.55,False
Malignant Epithelial Mesothelioma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Bacterial Vaginosis,PHASE3,1,1,0.0,0.0,-0.05,0.05,False
Recurrent Neuroblastoma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Double-Hit Lymphoma,PHASE2,2,0,0.0,,,,True
"Follicular Helper T-Cell Lymphoma, Angioimmunoblastic-Type",PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Male Breast Cancer,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Severe Aplastic Anemia (SAA),PHASE2,1,1,1.0,1.0,0.95,1.05,False
HIV Infection,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Epithelial Neoplasm,PHASE2,21,11,9.0,0.8181818181818182,0.7681818181818182,0.8681818181818183,False
Primary Peritoneal Cancer,PHASE3,2,0,0.0,,,,True
Aplastic Anemia,PHASE4,1,0,0.0,,,,True
Colorectal Cancer,PHASE3,9,4,4.0,1.0,0.95,1.05,False
Post-Transplant Lymphoproliferative Disorder,PHASE2,4,1,0.0,0.0,-0.05,0.05,False
B-Cell Non-Hodgkin Lymphoma,PHASE2,7,2,2.0,1.0,0.95,1.05,False
HER2-Negative Breast Cancer,PHASE2,1,0,0.0,,,,True
Breast Cancer,PHASE3,11,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
T Lymphoblastic Lymphoma,PHASE2,3,1,1.0,1.0,0.95,1.05,False
Anaplastic Astrocytoma,PHASE1,5,2,2.0,1.0,0.95,1.05,False
Neoplasms,EARLY_PHASE1,1,1,1.0,1.0,0.95,1.05,False
Cancer-Related Anemia,PHASE3,1,0,0.0,,,,True
Breast Cancer,UNKNOWN,5,4,2.0,0.5,0.45,0.55,False
Gallbladder Carcinoma,PHASE1,3,0,0.0,,,,True
Digestive System Neoplasm,PHASE2,25,16,13.0,0.8125,0.7625,0.8625,False
Myelodysplastic Syndrome,PHASE1,11,9,5.0,0.5555555555555556,0.5055555555555555,0.6055555555555556,False
Lung Adenocarcinoma,PHASE2,3,2,2.0,1.0,0.95,1.05,False
Uveal Melanoma,PHASE1,5,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Thyroid Gland Papillary Carcinoma,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Prostate Neuroendocrine Carcinoma,PHASE2,1,0,0.0,,,,True
Colorectal Cancer,UNKNOWN,1,0,0.0,,,,True
Sarcoma,PHASE2,5,2,1.0,0.5,0.45,0.55,False
Idiopathic Thrombocytopenic Purpura,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Maintenance,PHASE2,1,0,0.0,,,,True
Gastro-esophageal Cancer,PHASE1,1,0,0.0,,,,True
Plasma Cell Neoplasm,EARLY_PHASE1,1,1,1.0,1.0,0.95,1.05,False
Opportunistic Infections,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Chondrosarcoma,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Breast Neoplasm,PHASE1,4,3,3.0,1.0,0.95,1.05,False
AML without maturation,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
"Anemia, Sickle Cell",PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Non-Hodgkin Lymphoma,PHASE1,16,13,5.0,0.38461538461538464,0.33461538461538465,0.4346153846153846,False
Mycosis Fungoides and Sezary Syndrome,PHASE2,10,10,1.0,0.1,0.05,0.15000000000000002,False
Chronic Lymphocytic Leukemia,PHASE3,1,1,0.0,0.0,-0.05,0.05,False
Pineoblastoma,PHASE2,1,1,1.0,1.0,0.95,1.05,False
