indication,phase_label,n_total,n_evaluable,n_success,completion_rate,ci_lower,ci_upper,suppressed
Stage IV Adult Diffuse Small Cleaved Cell Lymphoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Leukemia,UNKNOWN,3,3,3.0,1.0,0.95,1.05,False
"Healthy, no Evidence of Disease",PHASE1,1,1,1.0,1.0,0.95,1.05,False
Skin Melanoma,PHASE3,1,0,0.0,,,,True
Solid Tumors,PHASE3,2,2,2.0,1.0,0.95,1.05,False
Connective and Soft Tissue Neoplasm,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Hemophagocytic Lymphohistiocytosis,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Testicular Germ Cell Cancer,PHASE1,1,0,0.0,,,,True
Thrombotic Thrombocytopenic Purpura,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Grade 1 Follicular Lymphoma,PHASE1,6,6,0.0,0.0,-0.05,0.05,False
Brain Edema,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Endometrial Cancer,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Hepatitis C,PHASE2,1,1,1.0,1.0,0.95,1.05,False
"Metastases, Neoplasm",PHASE1,1,1,1.0,1.0,0.95,1.05,False
Pancreatic Cancer,PHASE1,28,23,16.0,0.6956521739130435,0.6456521739130434,0.7456521739130435,False
MSS,PHASE3,1,0,0.0,,,,True
Vulvar Carcinoma,PHASE2,7,0,0.0,,,,True
Solid Tumors,PHASE2,20,8,5.0,0.625,0.575,0.675,False
Triple-Negative Breast Cancer,PHASE3,2,0,0.0,,,,True
Lung Non-Squamous Non-Small Cell Carcinoma,PHASE3,4,1,1.0,1.0,0.95,1.05,False
Rectal Carcinoma,PHASE2,5,3,3.0,1.0,0.95,1.05,False
Urothelial Carcinoma,PHASE1,12,2,2.0,1.0,0.95,1.05,False
Leukemia,PHASE2,16,10,8.0,0.8,0.75,0.8500000000000001,False
Triple-Negative Breast Cancer,UNKNOWN,1,0,0.0,,,,True
Female Reproductive System Neoplasm,PHASE1,2,1,1.0,1.0,0.95,1.05,False
Male Reproductive System Neoplasm,PHASE1,17,10,9.0,0.9,0.85,0.9500000000000001,False
Intrahepatic Cholangiocarcinoma,PHASE1,2,0,0.0,,,,True
Metastatic NSCLC,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Skin Melanoma,PHASE2,12,9,8.0,0.8888888888888888,0.8388888888888888,0.9388888888888889,False
HER2-Positive Breast Cancer,PHASE2,4,2,2.0,1.0,0.95,1.05,False
Osteosarcoma,PHASE2,2,2,2.0,1.0,0.95,1.05,False
Relapsed Pediatric Solid Tumor,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Multiple Primary Lung Cancers,PHASE2,1,0,0.0,,,,True
Skin Toxicity,PHASE2,1,0,0.0,,,,True
Microsatellite Instability,PHASE2,1,0,0.0,,,,True
Thrombotic Thrombocytopenic Purpura,PHASE3,1,1,1.0,1.0,0.95,1.05,False
PI3K Gene Mutation,PHASE2,1,0,0.0,,,,True
Intestinal T-Cell Lymphoma,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Acral Lentiginous Melanoma,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
Pancreatic Diseases,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Hematology,PHASE4,1,0,0.0,,,,True
Anal Cancer,PHASE1,3,3,3.0,1.0,0.95,1.05,False
Mesothelioma,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Salivary Gland Cancer,PHASE2,5,4,4.0,1.0,0.95,1.05,False
Other Hematologic Malignant Neoplasms,PHASE2,1,0,0.0,,,,True
Recurrent Adult Diffuse Mixed Cell Lymphoma,PHASE2,2,2,1.0,0.5,0.45,0.55,False
Internal Radiation,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Mucositis,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Atypical Hemolytic Uremic Syndrome,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Nasopharyngeal Cancer,PHASE1,4,4,3.0,0.75,0.7,0.8,False
Bile Duct Cancer,PHASE1,3,3,2.0,0.6666666666666666,0.6166666666666666,0.7166666666666667,False
Mucositis,UNKNOWN,1,1,1.0,1.0,0.95,1.05,False
Vaso-occlusive Crisis,PHASE2,1,1,1.0,1.0,0.95,1.05,False
High-Grade Glioma,PHASE2,1,1,1.0,1.0,0.95,1.05,False
Allogeneic Hematopoietic Stem Cell Transplantation,PHASE2,1,0,0.0,,,,True
Contiguous Stage II Adult Diffuse Mixed Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Noncontiguous Stage II Adult Diffuse Mixed Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Stage I Adult Diffuse Small Cleaved Cell Lymphoma,PHASE1,1,1,0.0,0.0,-0.05,0.05,False
Recurrent Midline Lethal Granuloma of the Paranasal Sinus and Nasal Cavity,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Chronic Graft Versus Host Disease,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Erectile Dysfunction,PHASE3,1,1,1.0,1.0,0.95,1.05,False
Oral Complications,PHASE1,1,1,1.0,1.0,0.95,1.05,False
Multiple Myeloma,PHASE2,42,27,10.0,0.37037037037037035,0.32037037037037036,0.42037037037037034,False
Muscle Invasive Bladder Cancer,PHASE2,1,0,0.0,,,,True
Gastrointestinal Diseases,PHASE2,1,0,0.0,,,,True
PTEN Gene Mutation,PHASE2,1,1,0.0,0.0,-0.05,0.05,False
WHO Grade 3 Glioma,PHASE2,2,1,1.0,1.0,0.95,1.05,False
Cervical Cancer,UNKNOWN,1,0,0.0,,,,True
Breast Cancer,PHASE4,3,1,1.0,1.0,0.95,1.05,False
Prostate Cancer,PHASE2,26,11,9.0,0.8181818181818182,0.7681818181818182,0.8681818181818183,False
Acute Lymphoblastic Leukemia,PHASE2,17,8,4.0,0.5,0.45,0.55,False
Immune-related Adverse Event,PHASE1,1,0,0.0,,,,True
Chemotherapeutic Toxicity,PHASE1,1,0,0.0,,,,True
Glioma,EARLY_PHASE1,3,0,0.0,,,,True
"Peripheral T-Cell Lymphoma, Not Otherwise Specified",PHASE2,1,0,0.0,,,,True
Cancer,PHASE2,9,7,6.0,0.8571428571428571,0.807142857142857,0.9071428571428571,False
Esophageal Cancer,PHASE1,7,1,1.0,1.0,0.95,1.05,False
